geoid,name,B01003001,"B01003001, Error"
06000US2501326675,"Granville town, Hampden County, MA",1706,184
06000US2501328075,"Hampden town, Hampden County, MA",5190,24
06000US2501330665,"Holland town, Hampden County, MA",2374,206
06000US2501330840,"Holyoke city, Hampden County, MA",40280,40
06000US2501336300,"Longmeadow town, Hampden County, MA",15837,39
06000US2501337175,"Ludlow town, Hampden County, MA",21352,41
06000US2501342145,"Monson town, Hampden County, MA",8741,20
06000US2501342530,"Montgomery town, Hampden County, MA",835,101
06000US2501352144,"Palmer Town city, Hampden County, MA",12145,20
06000US2501358650,"Russell town, Hampden County, MA",1421,177
06000US2501365825,"Southwick town, Hampden County, MA",9650,48
06000US2501367000,"Springfield city, Hampden County, MA",153991,42
06000US2501370045,"Tolland town, Hampden County, MA",647,98
06000US2501372390,"Wales town, Hampden County, MA",2016,241
06000US2501376030,"Westfield city, Hampden County, MA",41486,35
06000US2501377890,"West Springfield Town city, Hampden County, MA",28575,27
06000US2501379740,"Wilbraham town, Hampden County, MA",14516,36
06000US2501501325,"Amherst town, Hampshire County, MA",39724,39
06000US2501504825,"Belchertown town, Hampshire County, MA",14888,24
06000US2501513590,"Chesterfield town, Hampshire County, MA",1243,168
06000US2501516040,"Cummington town, Hampshire County, MA",884,100
06000US2501519370,"Easthampton Town city, Hampshire County, MA",16042,47
06000US2501526290,"Goshen town, Hampshire County, MA",1170,167
06000US2501526535,"Granby town, Hampshire County, MA",6327,16
06000US2501527690,"Hadley town, Hampshire County, MA",5338,19
06000US2501529265,"Hatfield town, Hampshire County, MA",3298,18
06000US2501531785,"Huntington town, Hampshire County, MA",1962,157
06000US2501540990,"Middlefield town, Hampshire County, MA",497,106
06000US2501546330,"Northampton city, Hampshire County, MA",28534,43
06000US2501552560,"Pelham town, Hampshire County, MA",1300,119
06000US2501554030,"Plainfield town, Hampshire County, MA",594,65
06000US2501562745,"Southampton town, Hampshire County, MA",6081,21
06000US2501564145,"South Hadley town, Hampshire County, MA",17753,22
06000US2501572880,"Ware town, Hampshire County, MA",9903,32
06000US2501576380,"Westhampton town, Hampshire County, MA",1830,98
06000US2501579915,"Williamsburg town, Hampshire County, MA",2448,188
06000US2501582175,"Worthington town, Hampshire County, MA",1219,126
06000US2501700380,"Acton town, Middlesex County, MA",23209,24
06000US2501701605,"Arlington town, Middlesex County, MA",44408,30
06000US2501701955,"Ashby town, Middlesex County, MA",3196,17
06000US2501702130,"Ashland town, Middlesex County, MA",17420,62
06000US2501703005,"Ayer town, Middlesex County, MA",7929,28
06000US2501704615,"Bedford town, Middlesex County, MA",14088,32
06000US2501705070,"Belmont town, Middlesex County, MA",25555,29
06000US2501705805,"Billerica town, Middlesex County, MA",42228,52
06000US2501707350,"Boxborough town, Middlesex County, MA",5287,31
06000US2501709840,"Burlington town, Middlesex County, MA",25698,36
06000US2501711000,"Cambridge city, Middlesex County, MA",108757,58
06000US2501711525,"Carlisle town, Middlesex County, MA",5125,21
06000US2501713135,"Chelmsford town, Middlesex County, MA",34906,25
06000US2501715060,"Concord town, Middlesex County, MA",19432,28
06000US2501717475,"Dracut town, Middlesex County, MA",30940,24
06000US2501717825,"Dunstable town, Middlesex County, MA",3310,20
06000US2501721990,"Everett city, Middlesex County, MA",44636,44
06000US2501724925,"Framingham town, Middlesex County, MA",70743,51
06000US2501727480,"Groton town, Middlesex County, MA",11182,21
06000US2501730700,"Holliston town, Middlesex County, MA",14324,36
06000US2501731085,"Hopkinton town, Middlesex County, MA",16257,25
06000US2501731540,"Hudson town, Middlesex County, MA",19680,45
06000US2501735215,"Lexington town, Middlesex County, MA",32936,44
06000US2501735425,"Lincoln town, Middlesex County, MA",6651,33
06000US2501735950,"Littleton town, Middlesex County, MA",9538,26
06000US2501737000,"Lowell city, Middlesex County, MA",109871,61
06000US2501737875,"Malden city, Middlesex County, MA",60732,53
06000US2501738715,"Marlborough city, Middlesex County, MA",39545,38
06000US2501739625,"Maynard town, Middlesex County, MA",10526,23
06000US2501739835,"Medford city, Middlesex County, MA",57180,86
06000US2501740115,"Melrose city, Middlesex County, MA",27787,29
06000US2501743895,"Natick town, Middlesex County, MA",35385,39
06000US2501745560,"Newton city, Middlesex County, MA",88317,64
06000US2501748955,"North Reading town, Middlesex County, MA",15476,23
06000US2501752805,"Pepperell town, Middlesex County, MA",12031,20
06000US2501756130,"Reading town, Middlesex County, MA",25490,29
06000US2501761380,"Sherborn town, Middlesex County, MA",4255,20
06000US2501761590,"Shirley town, Middlesex County, MA",7433,17
06000US2501762535,"Somerville city, Middlesex County, MA",79507,47
06000US2501767665,"Stoneham town, Middlesex County, MA",21831,26
06000US2501768050,"Stow town, Middlesex County, MA",7027,21
06000US2501768260,"Sudbury town, Middlesex County, MA",18594,35
